CASE_NUMBER,CASE_STATUS,RECEIVED_DATE,DECISION_DATE,EMPLOYER_NAME,SOC_CODE,SOC_NAME,JOB_TITLE,WAGE_RATE_OF_PAY_FROM,WAGE_RATE_OF_PAY_TO,WAGE_UNIT_OF_PAY,WORKSITE_CITY,WORKSITE_STATE,WORKSITE_POSTAL_CODE
I-200-24000023,Certified,2025-11-05,2025-11-13,MICROSOFT CORP,15-1252.00,Computer Occupations,Software Engineer I,122500,141314,Year,Chicago,IL,60601
I-200-24000024,Certified,2026-01-29,2026-02-14,SNOWFLAKE INC,15-1252.00,Computer Occupations,Software Engineer I,123500,142928,Year,Denver,CO,80202
I-200-24000025,Certified,2025-06-18,2025-07-10,AMAZON.COM SERVICES LLC,15-1252.00,Computer Occupations,Associate Software Engineer,133500,145367,Year,Chicago,IL,60601
I-200-24000026,Certified,2025-04-21,2025-04-29,UBER TECHNOLOGIES INC,15-1252.00,Computer Occupations,Junior Software Developer,122500,139046,Year,Austin,TX,78701
I-200-24000027,Certified,2025-12-11,2025-12-20,ANTHROPIC PBC,15-1252.00,Computer Occupations,Associate Software Engineer,115500,133627,Year,Boston,MA,02110
I-200-24000028,Certified,2026-01-04,2026-01-26,ANTHROPIC PBC,15-1252.00,Computer Occupations,Associate Software Engineer,152500,165069,Year,Chicago,IL,60601
I-200-24000029,Certified,2025-02-01,2025-02-27,AMAZON.COM SERVICES LLC,15-1252.00,Computer Occupations,Junior Software Developer,113500,126482,Year,Denver,CO,80202
I-200-24000030,Certified,2025-08-17,2025-09-02,AIRBNB INC,15-1252.00,Computer Occupations,Junior Software Developer,139000,150067,Year,Chicago,IL,60601
I-200-24000031,Certified,2026-04-01,2026-04-24,CLOUDFLARE INC,15-1252.00,Computer Occupations,Associate Software Engineer,96500,110131,Year,Austin,TX,78701
I-200-24000032,Certified,2025-10-06,2025-11-03,STRIPE INC,15-1252.00,Computer Occupations,Associate Software Engineer,132000,137433,Year,Boston,MA,02110
I-200-24000033,Certified,2025-06-01,2025-06-15,OUTLIER CORP,15-1252.00,Computer Occupations,Software Engineer I,2500000,2500000,Year,Austin,TX,78701
I-200-24000034,Certified,2025-02-02,2025-02-25,AIRBNB INC,15-1252.00,Computer Occupations,Software Engineer I,101000,114758,Year,Salt Lake City,UT,84101
I-200-24000035,Certified,2025-03-13,2025-03-26,SNOWFLAKE INC,15-1252.00,Computer Occupations,Associate Software Engineer,101500,117433,Year,Atlanta,GA,30303
I-200-24000036,Certified,2025-02-17,2025-03-07,OPENAI LLC,15-1252.00,Computer Occupations,Software Engineer I,119500,128393,Year,Atlanta,GA,30303
I-200-24000037,Certified,2026-02-02,2026-02-23,CLOUDFLARE INC,15-1252.00,Computer Occupations,Software Engineer I,116500,127313,Year,Raleigh,NC,27601
I-200-24000038,Certified,2025-08-11,2025-09-05,SNOWFLAKE INC,15-1252.00,Computer Occupations,Junior Software Developer,94500,107366,Year,Raleigh,NC,27601
I-200-24000039,Certified,2025-06-08,2025-07-02,SNOWFLAKE INC,15-1252.00,Computer Occupations,Software Engineer I,106500,126394,Year,Atlanta,GA,30303
I-200-24000040,Certified,2026-04-23,2026-05-10,STRIPE INC,15-1252.00,Computer Occupations,Software Engineer I,113500,130625,Year,Atlanta,GA,30303
I-200-24000041,Certified,2025-04-20,2025-05-12,UBER TECHNOLOGIES INC,15-1252.00,Computer Occupations,Junior Software Developer,103000,115051,Year,Remote,US,00000
I-200-24000042,Certified,2025-01-21,2025-01-28,MICROSOFT CORP,15-1252.00,Computer Occupations,Software Engineer I,99500,105326,Year,Raleigh,NC,27601
I-200-24000043,Certified,2025-10-19,2025-10-28,SNOWFLAKE INC,15-1252.00,Computer Occupations,Junior Software Developer,109500,125489,Year,Remote,US,00000
I-200-24000044,Certified,2025-11-03,2025-11-10,STRIPE INC,15-1252.00,Computer Occupations,Junior Software Developer,108000,116745,Year,Raleigh,NC,27601
I-200-24000045,Certified,2024-12-18,2025-01-14,APPLE INC,15-1252.00,Computer Occupations,Junior Software Developer,101000,109708,Year,Raleigh,NC,27601
I-200-24000046,Certified,2025-04-09,2025-04-20,CLOUDFLARE INC,15-1252.00,Computer Occupations,Software Engineer I,114500,125865,Year,Atlanta,GA,30303
I-200-24000047,Certified,2026-03-25,2026-04-08,META PLATFORMS INC,15-1252.00,Computer Occupations,Junior Software Developer,118000,125589,Year,Remote,US,00000
I-200-24000048,Certified,2025-09-17,2025-09-27,UBER TECHNOLOGIES INC,15-1252.00,Computer Occupations,Junior Software Developer,121500,141261,Year,Raleigh,NC,27601
I-200-24000049,Certified,2025-02-13,2025-03-01,UBER TECHNOLOGIES INC,15-1252.00,Computer Occupations,Associate Software Engineer,99500,109785,Year,Salt Lake City,UT,84101
I-200-24000050,Certified,2026-02-07,2026-02-20,APPLE INC,15-1252.00,Computer Occupations,Associate Software Engineer,112500,122717,Year,Raleigh,NC,27601
I-200-24000051,Certified,2025-12-13,2025-12-21,META PLATFORMS INC,15-1252.00,Computer Occupations,Associate Software Engineer,114500,132046,Year,Remote,US,00000
I-200-24000052,Certified,2025-07-24,2025-08-06,AIRBNB INC,15-1252.00,Computer Occupations,Associate Software Engineer,104000,114100,Year,Remote,US,00000
I-200-24000053,Certified,2024-12-11,2025-01-09,AMAZON.COM SERVICES LLC,15-1252.00,Computer Occupations,Software Engineer I,99000,117500,Year,Raleigh,NC,27601
I-200-24000054,Certified,2025-06-01,2025-06-15,OUTLIER CORP,15-1252.00,Computer Occupations,Software Engineer I,2500000,2500000,Year,Raleigh,NC,27601
I-200-24000055,Certified,2026-01-27,2026-02-23,STRIPE INC,15-1252.00,Computer Occupations,Software Development Engineer,174000,181882,Year,Sunnyvale,CA,94086
I-200-24000056,Certified,2025-11-19,2025-12-17,STRIPE INC,15-1252.00,Computer Occupations,Software Development Engineer,179500,189562,Year,New York,NY,10001
I-200-24000057,Certified,2025-08-07,2025-08-16,MICROSOFT CORP,15-1252.00,Computer Occupations,Full Stack Engineer,201000,210592,Year,San Francisco,CA,94105
I-200-24000058,Certified,2025-07-06,2025-08-04,DATADOG INC,15-1252.00,Computer Occupations,Software Engineer II,172500,187876,Year,Seattle,WA,98101
I-200-24000059,Certified,2025-04-26,2025-05-22,UBER TECHNOLOGIES INC,15-1252.00,Computer Occupations,Software Engineer II,178000,184614,Year,Sunnyvale,CA,94086
I-200-24000060,Certified,2026-03-10,2026-03-21,UBER TECHNOLOGIES INC,15-1252.00,Computer Occupations,Software Development Engineer,151000,164200,Year,Seattle,WA,98101
I-200-24000061,Certified,2026-02-03,2026-03-03,META PLATFORMS INC,15-1252.00,Computer Occupations,Full Stack Engineer,201500,209601,Year,Seattle,WA,98101
I-200-24000062,Certified,2025-07-27,2025-08-15,STRIPE INC,15-1252.00,Computer Occupations,Full Stack Engineer,177500,188976,Year,San Francisco,CA,94105
I-200-24000063,Certified,2026-02-10,2026-02-17,AIRBNB INC,15-1252.00,Computer Occupations,Software Development Engineer,189500,206021,Year,New York,NY,10001
I-200-24000064,Certified,2025-05-09,2025-05-30,UBER TECHNOLOGIES INC,15-1252.00,Computer Occupations,Software Development Engineer,199000,212793,Year,Seattle,WA,98101
I-200-24000065,Certified,2026-02-19,2026-02-28,OPENAI LLC,15-1252.00,Computer Occupations,Full Stack Engineer,155500,161300,Year,San Francisco,CA,94105
I-200-24000066,Certified,2025-09-22,2025-10-12,CLOUDFLARE INC,15-1252.00,Computer Occupations,Full Stack Engineer,178500,194311,Year,New York,NY,10001
I-200-24000067,Certified,2025-03-27,2025-04-07,ANTHROPIC PBC,15-1252.00,Computer Occupations,Software Engineer II,152000,167583,Year,New York,NY,10001
I-200-24000068,Certified,2025-05-28,2025-06-17,OPENAI LLC,15-1252.00,Computer Occupations,Software Development Engineer,178500,196522,Year,Seattle,WA,98101
I-200-24000069,Certified,2024-12-26,2025-01-03,META PLATFORMS INC,15-1252.00,Computer Occupations,Software Engineer II,177000,192561,Year,Seattle,WA,98101
I-200-24000070,Certified,2025-03-12,2025-04-10,AMAZON.COM SERVICES LLC,15-1252.00,Computer Occupations,Software Engineer II,195000,202938,Year,New York,NY,10001
I-200-24000071,Certified,2025-09-18,2025-09-27,PALANTIR TECHNOLOGIES INC,15-1252.00,Computer Occupations,Software Development Engineer,138000,157872,Year,San Francisco,CA,94105
I-200-24000072,Certified,2025-06-01,2025-06-15,OUTLIER CORP,15-1252.00,Computer Occupations,Software Engineer II,2500000,2500000,Year,New York,NY,10001
I-200-24000073,Certified,2025-04-06,2025-04-15,CLOUDFLARE INC,15-1252.00,Computer Occupations,Software Engineer II,164000,179851,Year,Chicago,IL,60601
I-200-24000074,Certified,2025-07-09,2025-07-27,ANTHROPIC PBC,15-1252.00,Computer Occupations,Full Stack Engineer,162500,173467,Year,Austin,TX,78701
I-200-24000075,Certified,2025-06-24,2025-07-15,ANTHROPIC PBC,15-1252.00,Computer Occupations,Full Stack Engineer,148000,160790,Year,Austin,TX,78701
I-200-24000076,Certified,2025-05-05,2025-05-14,STRIPE INC,15-1252.00,Computer Occupations,Full Stack Engineer,192000,200782,Year,Austin,TX,78701
I-200-24000077,Certified,2025-10-29,2025-11-28,ANTHROPIC PBC,15-1252.00,Computer Occupations,Software Engineer II,143500,161202,Year,Austin,TX,78701
I-200-24000078,Certified,2025-05-17,2025-06-10,APPLE INC,15-1252.00,Computer Occupations,Full Stack Engineer,165000,183926,Year,Chicago,IL,60601
I-200-24000079,Certified,2025-01-11,2025-01-24,AIRBNB INC,15-1252.00,Computer Occupations,Software Development Engineer,147500,157472,Year,Austin,TX,78701
I-200-24000080,Certified,2026-01-15,2026-01-29,DATADOG INC,15-1252.00,Computer Occupations,Software Development Engineer,156500,174815,Year,Boston,MA,02110
I-200-24000081,Certified,2025-10-06,2025-11-04,AIRBNB INC,15-1252.00,Computer Occupations,Software Engineer II,135500,151494,Year,Denver,CO,80202
I-200-24000082,Certified,2025-11-14,2025-11-28,MICROSOFT CORP,15-1252.00,Computer Occupations,Software Engineer II,167000,185622,Year,Boston,MA,02110
I-200-24000083,Certified,2025-12-03,2025-12-12,APPLE INC,15-1252.00,Computer Occupations,Full Stack Engineer,166500,186124,Year,Boston,MA,02110
I-200-24000084,Certified,2025-12-07,2025-12-27,META PLATFORMS INC,15-1252.00,Computer Occupations,Full Stack Engineer,153500,162917,Year,Denver,CO,80202
I-200-24000085,Certified,2025-09-23,2025-10-16,MICROSOFT CORP,15-1252.00,Computer Occupations,Full Stack Engineer,153000,165118,Year,Boston,MA,02110
I-200-24000086,Certified,2025-03-09,2025-03-16,STRIPE INC,15-1252.00,Computer Occupations,Software Engineer II,137500,156087,Year,Chicago,IL,60601
I-200-24000087,Certified,2025-02-22,2025-03-16,MICROSOFT CORP,15-1252.00,Computer Occupations,Software Engineer II,158500,164737,Year,Boston,MA,02110
I-200-24000088,Certified,2025-08-24,2025-09-18,UBER TECHNOLOGIES INC,15-1252.00,Computer Occupations,Full Stack Engineer,137000,146837,Year,Austin,TX,78701
I-200-24000089,Certified,2026-01-09,2026-02-02,UBER TECHNOLOGIES INC,15-1252.00,Computer Occupations,Software Engineer II,170500,187561,Year,Boston,MA,02110
I-200-24000090,Certified,2025-03-09,2025-03-16,MICROSOFT CORP,15-1252.00,Computer Occupations,Full Stack Engineer,154500,173474,Year,Chicago,IL,60601
I-200-24000091,Certified,2025-06-01,2025-06-15,OUTLIER CORP,15-1252.00,Computer Occupations,Software Engineer II,2500000,2500000,Year,Boston,MA,02110
I-200-24000092,Certified,2025-06-16,2025-07-05,DATADOG INC,15-1252.00,Computer Occupations,Full Stack Engineer,151500,171422,Year,Remote,US,00000
I-200-24000093,Certified,2025-08-12,2025-08-20,SNOWFLAKE INC,15-1252.00,Computer Occupations,Software Engineer II,138500,157653,Year,Atlanta,GA,30303
I-200-24000094,Certified,2025-05-11,2025-05-31,META PLATFORMS INC,15-1252.00,Computer Occupations,Software Development Engineer,150500,163113,Year,Salt Lake City,UT,84101
I-200-24000095,Certified,2025-05-12,2025-05-28,MICROSOFT CORP,15-1252.00,Computer Occupations,Software Engineer II,125000,133371,Year,Salt Lake City,UT,84101
I-200-24000096,Certified,2024-12-21,2025-01-03,OPENAI LLC,15-1252.00,Computer Occupations,Full Stack Engineer,135000,145757,Year,Atlanta,GA,30303
I-200-24000097,Certified,2025-08-13,2025-09-12,DATADOG INC,15-1252.00,Computer Occupations,Software Engineer II,141000,156171,Year,Atlanta,GA,30303
I-200-24000098,Certified,2025-10-16,2025-11-10,SNOWFLAKE INC,15-1252.00,Computer Occupations,Software Development Engineer,130000,135176,Year,Salt Lake City,UT,84101
I-200-24000099,Certified,2025-10-05,2025-10-23,AIRBNB INC,15-1252.00,Computer Occupations,Software Engineer II,147000,161245,Year,Remote,US,00000
I-200-24000100,Certified,2025-08-22,2025-09-18,CLOUDFLARE INC,15-1252.00,Computer Occupations,Software Development Engineer,138500,150990,Year,Raleigh,NC,27601
I-200-24000101,Certified,2025-08-10,2025-08-26,APPLE INC,15-1252.00,Computer Occupations,Software Development Engineer,126500,133641,Year,Raleigh,NC,27601
I-200-24000102,Certified,2025-06-15,2025-06-22,UBER TECHNOLOGIES INC,15-1252.00,Computer Occupations,Software Engineer II,124500,137186,Year,Raleigh,NC,27601
I-200-24000103,Certified,2026-03-11,2026-04-08,OPENAI LLC,15-1252.00,Computer Occupations,Full Stack Engineer,159000,177825,Year,Atlanta,GA,30303
I-200-24000104,Certified,2026-01-23,2026-02-05,META PLATFORMS INC,15-1252.00,Computer Occupations,Software Engineer II,141000,159167,Year,Raleigh,NC,27601
I-200-24000105,Certified,2025-07-08,2025-07-21,MICROSOFT CORP,15-1252.00,Computer Occupations,Software Development Engineer,137000,147100,Year,Raleigh,NC,27601
I-200-24000106,Certified,2025-04-08,2025-04-16,AMAZON.COM SERVICES LLC,15-1252.00,Computer Occupations,Software Engineer II,133000,139037,Year,Atlanta,GA,30303
I-200-24000107,Certified,2025-10-15,2025-10-25,AIRBNB INC,15-1252.00,Computer Occupations,Software Development Engineer,154500,160379,Year,Atlanta,GA,30303
I-200-24000108,Certified,2025-01-23,2025-02-20,AIRBNB INC,15-1252.00,Computer Occupations,Software Engineer II,136000,150673,Year,Raleigh,NC,27601
I-200-24000109,Certified,2025-12-10,2026-01-04,STRIPE INC,15-1252.00,Computer Occupations,Software Engineer II,156000,166134,Year,Remote,US,00000
I-200-24000110,Certified,2025-07-21,2025-08-05,UBER TECHNOLOGIES INC,15-1252.00,Computer Occupations,Software Development Engineer,142000,151026,Year,Atlanta,GA,30303
I-200-24000111,Certified,2025-07-03,2025-07-19,PALANTIR TECHNOLOGIES INC,15-1252.00,Computer Occupations,Software Development Engineer,141000,155035,Year,Atlanta,GA,30303
I-200-24000112,Certified,2025-06-01,2025-06-15,OUTLIER CORP,15-1252.00,Computer Occupations,Software Engineer II,2500000,2500000,Year,Atlanta,GA,30303
I-200-24000113,Certified,2025-01-03,2025-01-11,PALANTIR TECHNOLOGIES INC,15-1252.00,Computer Occupations,Senior Backend Engineer,228000,245141,Year,Sunnyvale,CA,94086
I-200-24000114,Certified,2025-06-16,2025-07-10,PALANTIR TECHNOLOGIES INC,15-1252.00,Computer Occupations,Senior Full Stack Engineer,202000,210410,Year,San Francisco,CA,94105
I-200-24000115,Certified,2025-09-09,2025-10-05,SNOWFLAKE INC,15-1252.00,Computer Occupations,Senior Backend Engineer,246000,260273,Year,San Francisco,CA,94105
I-200-24000116,Certified,2025-12-23,2026-01-09,UBER TECHNOLOGIES INC,15-1252.00,Computer Occupations,Senior Backend Engineer,237000,242306,Year,New York,NY,10001
I-200-24000117,Certified,2025-09-20,2025-10-10,STRIPE INC,15-1252.00,Computer Occupations,Senior Software Engineer,223000,240118,Year,Sunnyvale,CA,94086
I-200-24000118,Certified,2025-03-05,2025-03-12,MICROSOFT CORP,15-1252.00,Computer Occupations,Senior Full Stack Engineer,221000,233822,Year,San Francisco,CA,94105
I-200-24000119,Certified,2024-12-19,2025-01-10,AMAZON.COM SERVICES LLC,15-1252.00,Computer Occupations,Senior Software Engineer,217000,236462,Year,New York,NY,10001
I-200-24000120,Certified,2026-03-23,2026-04-20,ANTHROPIC PBC,15-1252.00,Computer Occupations,Senior Full Stack Engineer,208500,215491,Year,New York,NY,10001
I-200-24000121,Certified,2026-02-25,2026-03-23,META PLATFORMS INC,15-1252.00,Computer Occupations,Senior Full Stack Engineer,233000,248518,Year,San Francisco,CA,94105
I-200-24000122,Certified,2025-02-21,2025-03-18,STRIPE INC,15-1252.00,Computer Occupations,Senior Software Engineer,227500,243196,Year,New York,NY,10001
I-200-24000123,Certified,2025-09-27,2025-10-09,SNOWFLAKE INC,15-1252.00,Computer Occupations,Senior Full Stack Engineer,222000,234481,Year,New York,NY,10001
I-200-24000124,Certified,2025-05-14,2025-06-01,UBER TECHNOLOGIES INC,15-1252.00,Computer Occupations,Senior Backend Engineer,186000,198669,Year,New York,NY,10001
I-200-24000125,Certified,2025-11-14,2025-12-12,AMAZON.COM SERVICES LLC,15-1252.00,Computer Occupations,Senior Software Engineer,213500,223723,Year,Sunnyvale,CA,94086
I-200-24000126,Certified,2025-05-09,2025-05-27,AMAZON.COM SERVICES LLC,15-1252.00,Computer Occupations,Senior Full Stack Engineer,235500,242882,Year,San Francisco,CA,94105
I-200-24000127,Certified,2025-04-05,2025-05-05,UBER TECHNOLOGIES INC,15-1252.00,Computer Occupations,Senior Full Stack Engineer,216000,223690,Year,Sunnyvale,CA,94086
I-200-24000128,Certified,2026-03-24,2026-04-15,META PLATFORMS INC,15-1252.00,Computer Occupations,Senior Full Stack Engineer,202000,214728,Year,New York,NY,10001
I-200-24000129,Certified,2025-06-07,2025-07-01,CLOUDFLARE INC,15-1252.00,Computer Occupations,Senior Software Engineer,224500,236719,Year,Seattle,WA,98101
I-200-24000130,Certified,2025-06-21,2025-07-01,STRIPE INC,15-1252.00,Computer Occupations,Senior Full Stack Engineer,219500,227913,Year,San Francisco,CA,94105
I-200-24000131,Certified,2025-10-01,2025-10-30,MICROSOFT CORP,15-1252.00,Computer Occupations,Senior Software Engineer,228500,245220,Year,Sunnyvale,CA,94086
I-200-24000132,Certified,2025-06-01,2025-06-15,OUTLIER CORP,15-1252.00,Computer Occupations,Senior Software Engineer,2500000,2500000,Year,New York,NY,10001
I-200-24000133,Certified,2026-02-15,2026-03-07,META PLATFORMS INC,15-1252.00,Computer Occupations,Senior Software Engineer,223500,231313,Year,Austin,TX,78701
I-200-24000134,Certified,2025-02-05,2025-03-05,UBER TECHNOLOGIES INC,15-1252.00,Computer Occupations,Senior Full Stack Engineer,203000,220368,Year,Denver,CO,80202
I-200-24000135,Certified,2025-07-16,2025-07-30,MICROSOFT CORP,15-1252.00,Computer Occupations,Senior Backend Engineer,167000,181397,Year,Austin,TX,78701
I-200-24000136,Certified,2025-11-22,2025-12-10,DATADOG INC,15-1252.00,Computer Occupations,Senior Backend Engineer,214000,232382,Year,Austin,TX,78701
I-200-24000137,Certified,2025-07-16,2025-08-12,APPLE INC,15-1252.00,Computer Occupations,Senior Software Engineer,215000,224991,Year,Chicago,IL,60601
I-200-24000138,Certified,2025-02-01,2025-02-16,PALANTIR TECHNOLOGIES INC,15-1252.00,Computer Occupations,Senior Full Stack Engineer,206500,212117,Year,Denver,CO,80202
I-200-24000139,Certified,2026-03-07,2026-03-28,UBER TECHNOLOGIES INC,15-1252.00,Computer Occupations,Senior Full Stack Engineer,199500,210431,Year,Denver,CO,80202
I-200-24000140,Certified,2025-02-05,2025-02-13,MICROSOFT CORP,15-1252.00,Computer Occupations,Senior Full Stack Engineer,194500,210229,Year,Boston,MA,02110
I-200-24000141,Certified,2025-03-26,2025-04-07,UBER TECHNOLOGIES INC,15-1252.00,Computer Occupations,Senior Software Engineer,227000,236676,Year,Austin,TX,78701
I-200-24000142,Certified,2025-04-20,2025-05-09,CLOUDFLARE INC,15-1252.00,Computer Occupations,Senior Software Engineer,204500,211588,Year,Austin,TX,78701
I-200-24000143,Certified,2026-03-08,2026-04-05,DATADOG INC,15-1252.00,Computer Occupations,Senior Software Engineer,181500,192286,Year,Austin,TX,78701
I-200-24000144,Certified,2024-12-20,2025-01-16,MICROSOFT CORP,15-1252.00,Computer Occupations,Senior Full Stack Engineer,196000,206345,Year,Boston,MA,02110
I-200-24000145,Certified,2025-04-01,2025-04-20,CLOUDFLARE INC,15-1252.00,Computer Occupations,Senior Full Stack Engineer,197000,207823,Year,Denver,CO,80202
I-200-24000146,Certified,2025-07-11,2025-07-21,ANTHROPIC PBC,15-1252.00,Computer Occupations,Senior Software Engineer,215000,228665,Year,Chicago,IL,60601
I-200-24000147,Certified,2025-10-03,2025-10-28,SNOWFLAKE INC,15-1252.00,Computer Occupations,Senior Full Stack Engineer,218000,234821,Year,Boston,MA,02110
I-200-24000148,Certified,2025-03-27,2025-04-24,META PLATFORMS INC,15-1252.00,Computer Occupations,Senior Software Engineer,169000,185156,Year,Austin,TX,78701
I-200-24000149,Certified,2025-03-23,2025-04-18,PALANTIR TECHNOLOGIES INC,15-1252.00,Computer Occupations,Senior Backend Engineer,198500,212695,Year,Boston,MA,02110
I-200-24000150,Certified,2025-06-01,2025-06-15,OUTLIER CORP,15-1252.00,Computer Occupations,Senior Software Engineer,2500000,2500000,Year,Austin,TX,78701
I-200-24000151,Certified,2026-04-19,2026-05-15,APPLE INC,15-1252.00,Computer Occupations,Senior Full Stack Engineer,185000,191157,Year,Remote,US,00000
I-200-24000152,Certified,2025-12-23,2026-01-18,UBER TECHNOLOGIES INC,15-1252.00,Computer Occupations,Senior Full Stack Engineer,188500,200465,Year,Salt Lake City,UT,84101
I-200-24000153,Certified,2025-07-23,2025-08-06,PALANTIR TECHNOLOGIES INC,15-1252.00,Computer Occupations,Senior Full Stack Engineer,188000,202015,Year,Atlanta,GA,30303
I-200-24000154,Certified,2024-12-11,2025-01-08,STRIPE INC,15-1252.00,Computer Occupations,Senior Software Engineer,173500,180227,Year,Raleigh,NC,27601
I-200-24000155,Certified,2026-01-01,2026-01-19,SNOWFLAKE INC,15-1252.00,Computer Occupations,Senior Full Stack Engineer,199500,218640,Year,Remote,US,00000
I-200-24000156,Certified,2026-03-22,2026-04-15,UBER TECHNOLOGIES INC,15-1252.00,Computer Occupations,Senior Software Engineer,182500,199282,Year,Raleigh,NC,27601
I-200-24000157,Certified,2025-09-14,2025-09-26,SNOWFLAKE INC,15-1252.00,Computer Occupations,Senior Backend Engineer,155500,160849,Year,Remote,US,00000
I-200-24000158,Certified,2025-03-24,2025-04-11,MICROSOFT CORP,15-1252.00,Computer Occupations,Senior Backend Engineer,162000,176679,Year,Atlanta,GA,30303
I-200-24000159,Certified,2026-04-14,2026-04-26,DATADOG INC,15-1252.00,Computer Occupations,Senior Full Stack Engineer,190500,197230,Year,Remote,US,00000
I-200-24000160,Certified,2026-02-07,2026-02-19,MICROSOFT CORP,15-1252.00,Computer Occupations,Senior Software Engineer,183500,200209,Year,Raleigh,NC,27601
I-200-24000161,Certified,2025-06-27,2025-07-17,UBER TECHNOLOGIES INC,15-1252.00,Computer Occupations,Senior Full Stack Engineer,179500,192947,Year,Atlanta,GA,30303
I-200-24000162,Certified,2025-07-31,2025-08-21,SNOWFLAKE INC,15-1252.00,Computer Occupations,Senior Backend Engineer,147500,159734,Year,Raleigh,NC,27601
I-200-24000163,Certified,2025-11-10,2025-11-22,AIRBNB INC,15-1252.00,Computer Occupations,Senior Backend Engineer,182000,196736,Year,Salt Lake City,UT,84101
I-200-24000164,Certified,2025-06-26,2025-07-13,MICROSOFT CORP,15-1252.00,Computer Occupations,Senior Software Engineer,157500,177168,Year,Atlanta,GA,30303
I-200-24000165,Certified,2026-01-06,2026-02-01,APPLE INC,15-1252.00,Computer Occupations,Senior Software Engineer,186000,199469,Year,Atlanta,GA,30303
